Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
91,bruyne,76,85,90,87,48,76,https://futhead.cursecdn.com/static/img/18/players/192985.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
89,dybala,86,86,84,91,25,67,https://futhead.cursecdn.com/static/img/18/players/211110.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
89,silva,68,74,88,89,39,62,https://futhead.cursecdn.com/static/img/18/players/168542.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
89,bruyne,75,84,88,85,45,75,https://futhead.cursecdn.com/static/img/18/players/192985.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
88,eriksen,75,80,89,85,47,63,https://futhead.cursecdn.com/static/img/18/players/190460.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/13.png
88,özil,71,74,87,86,24,58,https://futhead.cursecdn.com/static/img/18/players/176635.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
88,dybala,86,85,81,91,24,67,https://futhead.cursecdn.com/static/img/18/players/211110.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
87,silva,68,72,87,87,38,61,https://futhead.cursecdn.com/static/img/18/players/168542.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
87,eriksen,75,78,88,84,47,63,https://futhead.cursecdn.com/static/img/18/players/190460.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/13.png
86,rodríguez,76,85,85,83,40,68,https://futhead.cursecdn.com/static/img/18/players/198710.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/56.png
84,lemar,85,78,82,87,62,71,https://futhead.cursecdn.com/static/img/18/players/213565.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,fekir,81,80,80,89,31,79,https://futhead.cursecdn.com/static/img/18/players/216594.png,https://futhead.cursecdn.com/static/img/18/clubs/66.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,mata,67,76,84,84,32,54,https://futhead.cursecdn.com/static/img/18/players/178088.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,asensio,78,79,83,83,39,61,https://futhead.cursecdn.com/static/img/18/players/220834.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,alli,76,80,77,82,64,78,https://futhead.cursecdn.com/static/img/18/players/211117.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
83,giuliano,83,78,79,84,46,74,https://futhead.cursecdn.com/static/img/18/players/184942.png,https://futhead.cursecdn.com/static/img/18/clubs/326.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
83,sneijder,69,78,86,82,38,56,https://futhead.cursecdn.com/static/img/18/players/139869.png,https://futhead.cursecdn.com/static/img/18/clubs/72.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
83,valero,70,69,85,85,63,65,https://futhead.cursecdn.com/static/img/18/players/161956.png,https://futhead.cursecdn.com/static/img/18/clubs/44.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
83,forsberg,75,74,83,83,30,66,https://futhead.cursecdn.com/static/img/18/players/208448.png,https://futhead.cursecdn.com/static/img/18/clubs/112172.png,https://futhead.cursecdn.com/static/img/18/nations/46.png
83,kagawa,70,68,76,86,34,49,https://futhead.cursecdn.com/static/img/18/players/189358.png,https://futhead.cursecdn.com/static/img/18/clubs/22.png,https://futhead.cursecdn.com/static/img/18/nations/163.png
83,banega,69,70,85,84,62,67,https://futhead.cursecdn.com/static/img/18/players/178562.png,https://futhead.cursecdn.com/static/img/18/clubs/481.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
82,vázquez,64,77,79,84,43,75,https://futhead.cursecdn.com/static/img/18/players/207471.png,https://futhead.cursecdn.com/static/img/18/clubs/481.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
82,fekir,78,79,77,86,31,72,https://futhead.cursecdn.com/static/img/18/players/216594.png,https://futhead.cursecdn.com/static/img/18/clubs/66.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
82,sigurðsson,66,81,84,79,52,70,https://futhead.cursecdn.com/static/img/18/players/184484.png,https://futhead.cursecdn.com/static/img/18/clubs/7.png,https://futhead.cursecdn.com/static/img/18/nations/24.png
