Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
90,ramos,76,63,71,72,88,83,https://futhead.cursecdn.com/static/img/18/players/155862.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
89,hummels,65,58,76,73,90,77,https://futhead.cursecdn.com/static/img/18/players/178603.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
89,chiellini,74,46,56,60,90,85,https://futhead.cursecdn.com/static/img/18/players/138956.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
88,boateng,75,50,72,68,88,84,https://futhead.cursecdn.com/static/img/18/players/183907.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
88,hummels,64,58,75,72,89,76,https://futhead.cursecdn.com/static/img/18/players/178603.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
88,bonucci,68,54,70,71,87,81,https://futhead.cursecdn.com/static/img/18/players/184344.png,https://futhead.cursecdn.com/static/img/18/clubs/47.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
88,silva,72,56,73,74,88,79,https://futhead.cursecdn.com/static/img/18/players/164240.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
88,godín,65,48,65,64,88,78,https://futhead.cursecdn.com/static/img/18/players/182493.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/60.png
87,piqué,65,61,69,66,86,76,https://futhead.cursecdn.com/static/img/18/players/152729.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
86,sokratis,78,52,55,61,87,84,https://futhead.cursecdn.com/static/img/18/players/172879.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/22.png
86,azpilicueta,79,55,77,74,87,79,https://futhead.cursecdn.com/static/img/18/players/184432.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
86,miranda,71,49,60,68,88,77,https://futhead.cursecdn.com/static/img/18/players/168609.png,https://futhead.cursecdn.com/static/img/18/clubs/44.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
86,martinez,50,60,69,66,86,80,https://futhead.cursecdn.com/static/img/18/players/177610.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
86,alderweireld,66,58,72,66,87,80,https://futhead.cursecdn.com/static/img/18/players/184087.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
86,luiz,70,64,74,71,84,81,https://futhead.cursecdn.com/static/img/18/players/179944.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
86,sokratis,78,52,55,61,87,84,https://futhead.cursecdn.com/static/img/18/players/172879.png,https://futhead.cursecdn.com/static/img/18/clubs/22.png,https://futhead.cursecdn.com/static/img/18/nations/22.png
86,pepe,68,50,57,61,86,80,https://futhead.cursecdn.com/static/img/18/players/120533.png,https://futhead.cursecdn.com/static/img/18/clubs/327.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
85,benatia,74,44,55,65,86,83,https://futhead.cursecdn.com/static/img/18/players/177509.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/129.png
85,otamendi,63,58,61,58,85,82,https://futhead.cursecdn.com/static/img/18/players/192366.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
85,vertonghen,67,65,72,70,85,81,https://futhead.cursecdn.com/static/img/18/players/172871.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
85,kompany,63,54,65,65,84,83,https://futhead.cursecdn.com/static/img/18/players/139720.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
85,glik,56,32,44,55,86,84,https://futhead.cursecdn.com/static/img/18/players/190547.png,https://futhead.cursecdn.com/static/img/18/clubs/69.png,https://futhead.cursecdn.com/static/img/18/nations/37.png
85,varane,79,45,61,65,84,79,https://futhead.cursecdn.com/static/img/18/players/201535.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
85,barzagli,71,34,57,65,88,73,https://futhead.cursecdn.com/static/img/18/players/137186.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
85,azpilicueta,79,55,74,74,86,78,https://futhead.cursecdn.com/static/img/18/players/184432.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,vrij,69,41,58,66,86,78,https://futhead.cursecdn.com/static/img/18/players/198176.png,https://futhead.cursecdn.com/static/img/18/clubs/44.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
84,naldo,69,71,65,63,85,76,https://futhead.cursecdn.com/static/img/18/players/171919.png,https://futhead.cursecdn.com/static/img/18/clubs/34.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
84,süle,67,42,52,51,85,82,https://futhead.cursecdn.com/static/img/18/players/212190.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,marquinhos,76,38,69,70,85,76,https://futhead.cursecdn.com/static/img/18/players/207865.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
84,vrij,69,41,58,66,86,78,https://futhead.cursecdn.com/static/img/18/players/198176.png,https://futhead.cursecdn.com/static/img/18/clubs/46.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
84,laporte,69,50,66,62,86,78,https://futhead.cursecdn.com/static/img/18/players/212218.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,laporte,69,50,66,62,86,78,https://futhead.cursecdn.com/static/img/18/players/212218.png,https://futhead.cursecdn.com/static/img/18/clubs/448.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,mustafi,67,57,63,63,83,79,https://futhead.cursecdn.com/static/img/18/players/192227.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,bailly,78,42,59,66,84,84,https://futhead.cursecdn.com/static/img/18/players/225508.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/108.png
84,koscielny,75,41,62,66,85,78,https://futhead.cursecdn.com/static/img/18/players/165229.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,benatia,74,42,54,65,85,82,https://futhead.cursecdn.com/static/img/18/players/177509.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/129.png
84,manolas,80,19,42,61,86,83,https://futhead.cursecdn.com/static/img/18/players/192774.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/22.png
84,cahill,63,58,52,62,84,78,https://futhead.cursecdn.com/static/img/18/players/164468.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
84,koulibaly,73,26,43,57,85,86,https://futhead.cursecdn.com/static/img/18/players/201024.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/136.png
83,albiol,57,41,58,61,85,78,https://futhead.cursecdn.com/static/img/18/players/157481.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
83,dijk,73,60,67,70,83,85,https://futhead.cursecdn.com/static/img/18/players/203376.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
83,umtiti,74,64,71,71,82,79,https://futhead.cursecdn.com/static/img/18/players/205600.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
