Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
88,kanté,82,66,76,81,82,84,https://futhead.cursecdn.com/static/img/18/players/215914.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
87,busquets,40,62,79,78,82,81,https://futhead.cursecdn.com/static/img/18/players/189511.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
87,kanté,81,66,75,80,81,84,https://futhead.cursecdn.com/static/img/18/players/215914.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
87,vidal,75,81,80,79,83,84,https://futhead.cursecdn.com/static/img/18/players/181872.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/55.png
86,casemiro,63,69,74,72,86,87,https://futhead.cursecdn.com/static/img/18/players/200145.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
86,busquets,40,59,79,74,82,81,https://futhead.cursecdn.com/static/img/18/players/189511.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
85,fernandinho,73,74,80,78,80,81,https://futhead.cursecdn.com/static/img/18/players/135507.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
85,casemiro,62,68,74,72,84,86,https://futhead.cursecdn.com/static/img/18/players/200145.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
85,matuidi,78,67,77,76,82,84,https://futhead.cursecdn.com/static/img/18/players/170890.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,fabinho,74,65,78,77,84,85,https://futhead.cursecdn.com/static/img/18/players/209499.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
84,fabinho,74,65,78,77,84,85,https://futhead.cursecdn.com/static/img/18/players/209499.png,https://futhead.cursecdn.com/static/img/18/clubs/69.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
84,matić,64,70,78,74,81,87,https://futhead.cursecdn.com/static/img/18/players/191202.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/51.png
83,carvalho,53,57,77,74,80,83,https://futhead.cursecdn.com/static/img/18/players/207566.png,https://futhead.cursecdn.com/static/img/18/clubs/237.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,pereira,68,62,69,74,82,87,https://futhead.cursecdn.com/static/img/18/players/200888.png,https://futhead.cursecdn.com/static/img/18/clubs/236.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,n&#39;zonzi,57,67,73,71,80,88,https://futhead.cursecdn.com/static/img/18/players/187936.png,https://futhead.cursecdn.com/static/img/18/clubs/481.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
83,gueye,76,60,70,77,83,81,https://futhead.cursecdn.com/static/img/18/players/193474.png,https://futhead.cursecdn.com/static/img/18/clubs/7.png,https://futhead.cursecdn.com/static/img/18/nations/136.png
83,biglia,69,63,81,80,75,75,https://futhead.cursecdn.com/static/img/18/players/158963.png,https://futhead.cursecdn.com/static/img/18/clubs/47.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
83,matić,64,70,76,72,80,87,https://futhead.cursecdn.com/static/img/18/players/191202.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/51.png
83,rossi,68,64,73,71,81,82,https://futhead.cursecdn.com/static/img/18/players/53302.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
83,schneiderlin,68,62,76,77,79,81,https://futhead.cursecdn.com/static/img/18/players/177358.png,https://futhead.cursecdn.com/static/img/18/clubs/7.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
83,fabinho,74,65,76,76,83,83,https://futhead.cursecdn.com/static/img/18/players/209499.png,https://futhead.cursecdn.com/static/img/18/clubs/69.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,gustavo,66,62,69,70,82,81,https://futhead.cursecdn.com/static/img/18/players/185221.png,https://futhead.cursecdn.com/static/img/18/clubs/219.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,mesa,77,61,76,77,73,80,https://futhead.cursecdn.com/static/img/18/players/204277.png,https://futhead.cursecdn.com/static/img/18/clubs/481.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
82,fejsa,53,57,66,68,81,85,https://futhead.cursecdn.com/static/img/18/players/183376.png,https://futhead.cursecdn.com/static/img/18/clubs/234.png,https://futhead.cursecdn.com/static/img/18/nations/51.png
82,xhaka,50,66,80,72,72,78,https://futhead.cursecdn.com/static/img/18/players/199503.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/47.png
82,wanyama,64,66,70,74,82,91,https://futhead.cursecdn.com/static/img/18/players/188942.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/120.png
82,bender,68,64,73,73,82,79,https://futhead.cursecdn.com/static/img/18/players/177457.png,https://futhead.cursecdn.com/static/img/18/clubs/32.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
82,medel,74,48,68,71,81,81,https://futhead.cursecdn.com/static/img/18/players/193532.png,https://futhead.cursecdn.com/static/img/18/clubs/327.png,https://futhead.cursecdn.com/static/img/18/nations/55.png
82,bakayoko,73,49,70,74,81,83,https://futhead.cursecdn.com/static/img/18/players/219809.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
82,henderson,72,70,82,76,76,81,https://futhead.cursecdn.com/static/img/18/players/183711.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
82,fernandinho,73,73,76,77,77,78,https://futhead.cursecdn.com/static/img/18/players/135507.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,mesa,77,61,76,77,73,80,https://futhead.cursecdn.com/static/img/18/players/204277.png,https://futhead.cursecdn.com/static/img/18/clubs/1960.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
