Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
87,mertens,90,83,81,90,36,56,https://futhead.cursecdn.com/static/img/18/players/175943.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
86,mertens,90,82,79,89,36,55,https://futhead.cursecdn.com/static/img/18/players/175943.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
86,müller,77,82,77,78,46,71,https://futhead.cursecdn.com/static/img/18/players/189596.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,gómez,90,77,80,88,31,58,https://futhead.cursecdn.com/static/img/18/players/143076.png,https://futhead.cursecdn.com/static/img/18/clubs/39.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
83,giovinco,84,81,79,87,27,57,https://futhead.cursecdn.com/static/img/18/players/184431.png,https://futhead.cursecdn.com/static/img/18/clubs/111651.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
82,giovinco,81,81,78,87,27,57,https://futhead.cursecdn.com/static/img/18/players/184431.png,https://futhead.cursecdn.com/static/img/18/clubs/111651.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
82,kruse,71,84,82,83,39,69,https://futhead.cursecdn.com/static/img/18/players/183574.png,https://futhead.cursecdn.com/static/img/18/clubs/38.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
82,raffael,72,79,80,86,41,67,https://futhead.cursecdn.com/static/img/18/players/144622.png,https://futhead.cursecdn.com/static/img/18/clubs/23.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,stindl,71,84,79,79,64,74,https://futhead.cursecdn.com/static/img/18/players/187072.png,https://futhead.cursecdn.com/static/img/18/clubs/23.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
80,alberto,76,76,83,83,27,61,https://futhead.cursecdn.com/static/img/18/players/198706.png,https://futhead.cursecdn.com/static/img/18/clubs/46.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
80,perotti,81,71,78,85,32,59,https://futhead.cursecdn.com/static/img/18/players/183900.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
80,iličić,70,82,80,81,35,64,https://futhead.cursecdn.com/static/img/18/players/200647.png,https://futhead.cursecdn.com/static/img/18/clubs/39.png,https://futhead.cursecdn.com/static/img/18/nations/44.png
79,santos,86,78,73,81,29,53,https://futhead.cursecdn.com/static/img/18/players/170369.png,https://futhead.cursecdn.com/static/img/18/clubs/697.png,https://futhead.cursecdn.com/static/img/18/nations/83.png
78,ruiz,62,81,80,83,34,68,https://futhead.cursecdn.com/static/img/18/players/213582.png,https://futhead.cursecdn.com/static/img/18/clubs/237.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
78,dempsey,64,78,71,77,37,70,https://futhead.cursecdn.com/static/img/18/players/155897.png,https://futhead.cursecdn.com/static/img/18/clubs/111144.png,https://futhead.cursecdn.com/static/img/18/nations/95.png
78,bartels,86,73,73,81,40,61,https://futhead.cursecdn.com/static/img/18/players/183332.png,https://futhead.cursecdn.com/static/img/18/clubs/38.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
77,ōsako,76,72,67,80,36,66,https://futhead.cursecdn.com/static/img/18/players/191565.png,https://futhead.cursecdn.com/static/img/18/clubs/38.png,https://futhead.cursecdn.com/static/img/18/nations/163.png
77,eduardo,73,78,77,74,51,72,https://futhead.cursecdn.com/static/img/18/players/192708.png,https://futhead.cursecdn.com/static/img/18/clubs/605.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
77,ōsako,76,72,67,80,36,66,https://futhead.cursecdn.com/static/img/18/players/191565.png,https://futhead.cursecdn.com/static/img/18/clubs/31.png,https://futhead.cursecdn.com/static/img/18/nations/163.png
77,philipp,80,75,70,79,31,65,https://futhead.cursecdn.com/static/img/18/players/216497.png,https://futhead.cursecdn.com/static/img/18/clubs/22.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
77,okazaki,74,74,69,78,47,75,https://futhead.cursecdn.com/static/img/18/players/194365.png,https://futhead.cursecdn.com/static/img/18/clubs/95.png,https://futhead.cursecdn.com/static/img/18/nations/163.png
76,podence,89,63,66,84,28,49,https://futhead.cursecdn.com/static/img/18/players/226766.png,https://futhead.cursecdn.com/static/img/18/clubs/280.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
76,podence,89,63,66,84,28,49,https://futhead.cursecdn.com/static/img/18/players/226766.png,https://futhead.cursecdn.com/static/img/18/clubs/237.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
75,kubo,83,72,68,78,42,56,https://futhead.cursecdn.com/static/img/18/players/217242.png,https://futhead.cursecdn.com/static/img/18/clubs/674.png,https://futhead.cursecdn.com/static/img/18/nations/163.png
75,eduardo,71,76,74,71,51,71,https://futhead.cursecdn.com/static/img/18/players/192708.png,https://futhead.cursecdn.com/static/img/18/clubs/605.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
75,diamanti,67,71,77,80,32,64,https://futhead.cursecdn.com/static/img/18/players/163925.png,https://futhead.cursecdn.com/static/img/18/clubs/1843.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
