Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
90,kroos,50,81,88,81,73,70,https://futhead.cursecdn.com/static/img/18/players/182521.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
89,modrić,73,75,86,89,72,65,https://futhead.cursecdn.com/static/img/18/players/177003.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/10.png
88,pogba,76,79,86,85,68,88,https://futhead.cursecdn.com/static/img/18/players/195864.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
88,thiago,72,75,85,90,62,63,https://futhead.cursecdn.com/static/img/18/players/189509.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
87,iniesta,71,70,87,90,58,58,https://futhead.cursecdn.com/static/img/18/players/41.png,https://futhead.cursecdn.com/static/img/18/clubs/101146.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
87,pogba,74,79,84,84,68,88,https://futhead.cursecdn.com/static/img/18/players/195864.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
87,rakitić,65,84,86,82,60,66,https://futhead.cursecdn.com/static/img/18/players/168651.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/10.png
87,hamšík,74,80,84,84,68,70,https://futhead.cursecdn.com/static/img/18/players/171877.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/43.png
87,verratti,65,59,84,89,79,68,https://futhead.cursecdn.com/static/img/18/players/199556.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
87,iniesta,71,70,87,90,58,58,https://futhead.cursecdn.com/static/img/18/players/41.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
86,nainggolan,78,80,78,82,81,83,https://futhead.cursecdn.com/static/img/18/players/178518.png,https://futhead.cursecdn.com/static/img/18/clubs/44.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
86,pjanić,74,70,87,86,71,70,https://futhead.cursecdn.com/static/img/18/players/180206.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/8.png
86,fàbregas,63,77,88,81,60,64,https://futhead.cursecdn.com/static/img/18/players/162895.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
86,nainggolan,78,80,78,82,81,83,https://futhead.cursecdn.com/static/img/18/players/178518.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
86,isco,71,83,82,89,54,62,https://futhead.cursecdn.com/static/img/18/players/197781.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
85,koke,72,75,86,81,65,76,https://futhead.cursecdn.com/static/img/18/players/193747.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
85,pjanić,74,70,86,86,67,69,https://futhead.cursecdn.com/static/img/18/players/180206.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/8.png
85,marchisio,78,72,83,84,76,74,https://futhead.cursecdn.com/static/img/18/players/173210.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
85,gündoğan,71,74,83,87,64,71,https://futhead.cursecdn.com/static/img/18/players/186942.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,parejo,54,77,87,78,65,72,https://futhead.cursecdn.com/static/img/18/players/189513.png,https://futhead.cursecdn.com/static/img/18/clubs/461.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,koke,70,75,86,81,63,75,https://futhead.cursecdn.com/static/img/18/players/193747.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,bruno,41,72,79,75,78,77,https://futhead.cursecdn.com/static/img/18/players/184120.png,https://futhead.cursecdn.com/static/img/18/clubs/483.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,herrera,73,72,81,83,78,77,https://futhead.cursecdn.com/static/img/18/players/191740.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,khedira,64,74,80,76,80,84,https://futhead.cursecdn.com/static/img/18/players/179846.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,strootman,67,74,82,78,78,82,https://futhead.cursecdn.com/static/img/18/players/189712.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
83,keïta,73,71,77,89,62,70,https://futhead.cursecdn.com/static/img/18/players/220971.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/118.png
83,goretzka,85,75,81,80,78,76,https://futhead.cursecdn.com/static/img/18/players/209658.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
83,pastore,71,75,83,85,58,64,https://futhead.cursecdn.com/static/img/18/players/191180.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
83,silva,65,76,82,81,78,72,https://futhead.cursecdn.com/static/img/18/players/184826.png,https://futhead.cursecdn.com/static/img/18/clubs/95.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,pizzi,79,78,82,83,63,70,https://futhead.cursecdn.com/static/img/18/players/197965.png,https://futhead.cursecdn.com/static/img/18/clubs/234.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,paulinho,76,77,75,80,78,77,https://futhead.cursecdn.com/static/img/18/players/187961.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
83,saúl,73,72,79,81,77,75,https://futhead.cursecdn.com/static/img/18/players/208421.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
