Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
87,alba,93,70,77,83,82,74,https://futhead.cursecdn.com/static/img/18/players/189332.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
87,marcelo,78,69,80,85,82,79,https://futhead.cursecdn.com/static/img/18/players/176676.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
86,luís,81,62,78,78,83,80,https://futhead.cursecdn.com/static/img/18/players/164169.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
86,alaba,86,73,81,80,82,74,https://futhead.cursecdn.com/static/img/18/players/197445.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/4.png
86,sandro,86,65,77,81,81,84,https://futhead.cursecdn.com/static/img/18/players/191043.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
85,luís,79,62,77,78,82,79,https://futhead.cursecdn.com/static/img/18/players/164169.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
85,alba,93,69,75,82,81,72,https://futhead.cursecdn.com/static/img/18/players/189332.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
82,telles,85,65,79,80,77,76,https://futhead.cursecdn.com/static/img/18/players/212462.png,https://futhead.cursecdn.com/static/img/18/clubs/236.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,rose,81,63,73,77,81,78,https://futhead.cursecdn.com/static/img/18/players/169595.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
82,baines,70,71,80,79,80,71,https://futhead.cursecdn.com/static/img/18/players/163631.png,https://futhead.cursecdn.com/static/img/18/clubs/7.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
81,evra,74,51,71,76,82,73,https://futhead.cursecdn.com/static/img/18/players/52091.png,https://futhead.cursecdn.com/static/img/18/clubs/19.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
