Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
94,ronaldo,90,93,82,90,33,80,https://futhead.cursecdn.com/static/img/18/players/20801.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
92,neymar,92,84,79,94,30,60,https://futhead.cursecdn.com/static/img/18/players/190871.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
91,hazard,90,83,85,93,32,68,https://futhead.cursecdn.com/static/img/18/players/183277.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
90,hazard,90,82,84,92,32,66,https://futhead.cursecdn.com/static/img/18/players/183277.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/7.png
87,coutinho,82,80,84,89,35,65,https://futhead.cursecdn.com/static/img/18/players/189242.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
87,insigne,90,77,84,91,25,51,https://futhead.cursecdn.com/static/img/18/players/198219.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
86,coutinho,82,78,83,88,35,64,https://futhead.cursecdn.com/static/img/18/players/189242.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
85,insigne,90,74,82,89,25,50,https://futhead.cursecdn.com/static/img/18/players/198219.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
84,sané,94,79,76,86,34,72,https://futhead.cursecdn.com/static/img/18/players/222492.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,draxler,78,80,82,86,34,64,https://futhead.cursecdn.com/static/img/18/players/202166.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,payet,75,78,86,87,37,70,https://futhead.cursecdn.com/static/img/18/players/177388.png,https://futhead.cursecdn.com/static/img/18/clubs/219.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
84,mané,93,78,74,85,36,75,https://futhead.cursecdn.com/static/img/18/players/208722.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/136.png
83,nani,81,79,81,86,24,64,https://futhead.cursecdn.com/static/img/18/players/139068.png,https://futhead.cursecdn.com/static/img/18/clubs/461.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,nani,81,79,81,86,24,64,https://futhead.cursecdn.com/static/img/18/players/139068.png,https://futhead.cursecdn.com/static/img/18/clubs/46.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
82,deulofeu,93,70,75,87,26,61,https://futhead.cursecdn.com/static/img/18/players/202477.png,https://futhead.cursecdn.com/static/img/18/clubs/1795.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
82,sané,94,77,72,85,34,70,https://futhead.cursecdn.com/static/img/18/players/222492.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
82,diao,92,76,72,86,29,70,https://futhead.cursecdn.com/static/img/18/players/215785.png,https://futhead.cursecdn.com/static/img/18/clubs/69.png,https://futhead.cursecdn.com/static/img/18/nations/136.png
82,deulofeu,93,70,75,87,26,61,https://futhead.cursecdn.com/static/img/18/players/202477.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
81,shaarawy,87,76,71,85,31,59,https://futhead.cursecdn.com/static/img/18/players/190813.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
81,valbuena,80,74,79,82,29,49,https://futhead.cursecdn.com/static/img/18/players/177326.png,https://futhead.cursecdn.com/static/img/18/clubs/326.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
80,piatti,76,80,73,85,49,73,https://futhead.cursecdn.com/static/img/18/players/176376.png,https://futhead.cursecdn.com/static/img/18/clubs/111139.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
80,shaarawy,87,75,70,84,31,58,https://futhead.cursecdn.com/static/img/18/players/190813.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
80,depay,89,77,72,83,30,77,https://futhead.cursecdn.com/static/img/18/players/202556.png,https://futhead.cursecdn.com/static/img/18/clubs/66.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
