Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
84,kimmich,72,67,84,82,78,72,https://futhead.cursecdn.com/static/img/18/players/212622.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
84,walker,90,63,75,76,81,83,https://futhead.cursecdn.com/static/img/18/players/188377.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
84,alves,82,68,81,84,77,66,https://futhead.cursecdn.com/static/img/18/players/146530.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
84,carvajal,82,45,73,79,82,78,https://futhead.cursecdn.com/static/img/18/players/204963.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
83,piszczek,79,68,76,74,81,80,https://futhead.cursecdn.com/static/img/18/players/173771.png,https://futhead.cursecdn.com/static/img/18/clubs/22.png,https://futhead.cursecdn.com/static/img/18/nations/37.png
83,juanfran,82,58,75,77,80,77,https://futhead.cursecdn.com/static/img/18/players/146760.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
83,valencia,87,65,75,81,78,85,https://futhead.cursecdn.com/static/img/18/players/167905.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/57.png
83,walker,90,63,73,76,80,81,https://futhead.cursecdn.com/static/img/18/players/188377.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
82,lichtsteiner,77,59,73,76,80,77,https://futhead.cursecdn.com/static/img/18/players/108080.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/47.png
82,roberto,79,65,81,77,79,73,https://futhead.cursecdn.com/static/img/18/players/199564.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
82,lichtsteiner,77,59,73,76,80,77,https://futhead.cursecdn.com/static/img/18/players/108080.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/47.png
82,clyne,83,61,71,77,80,76,https://futhead.cursecdn.com/static/img/18/players/190456.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
82,florenzi,85,79,78,82,76,76,https://futhead.cursecdn.com/static/img/18/players/203551.png,https://futhead.cursecdn.com/static/img/18/clubs/52.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
81,semedo,92,57,68,80,76,71,https://futhead.cursecdn.com/static/img/18/players/227928.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
81,srna,73,75,85,76,78,74,https://futhead.cursecdn.com/static/img/18/players/139997.png,https://futhead.cursecdn.com/static/img/18/clubs/101059.png,https://futhead.cursecdn.com/static/img/18/nations/10.png
81,coleman,73,66,72,78,80,77,https://futhead.cursecdn.com/static/img/18/players/180216.png,https://futhead.cursecdn.com/static/img/18/clubs/7.png,https://futhead.cursecdn.com/static/img/18/nations/25.png
