Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
88,robben,86,86,81,90,32,63,https://futhead.cursecdn.com/static/img/18/players/9014.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
85,mkhitaryan,86,79,80,86,54,70,https://futhead.cursecdn.com/static/img/18/players/192883.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/3.png
85,mkhitaryan,86,79,80,86,54,70,https://futhead.cursecdn.com/static/img/18/players/192883.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/3.png
84,mahrez,82,76,79,88,30,58,https://futhead.cursecdn.com/static/img/18/players/204485.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/97.png
84,mahrez,82,76,79,88,30,58,https://futhead.cursecdn.com/static/img/18/players/204485.png,https://futhead.cursecdn.com/static/img/18/clubs/95.png,https://futhead.cursecdn.com/static/img/18/nations/97.png
84,silva,81,72,81,89,45,61,https://futhead.cursecdn.com/static/img/18/players/218667.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,promes,89,81,78,83,30,68,https://futhead.cursecdn.com/static/img/18/players/208808.png,https://futhead.cursecdn.com/static/img/18/clubs/100767.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
83,cuadrado,91,74,77,87,63,68,https://futhead.cursecdn.com/static/img/18/players/193082.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/56.png
83,quaresma,83,76,81,87,18,60,https://futhead.cursecdn.com/static/img/18/players/20775.png,https://futhead.cursecdn.com/static/img/18/clubs/327.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
83,mahrez,82,74,78,87,28,55,https://futhead.cursecdn.com/static/img/18/players/204485.png,https://futhead.cursecdn.com/static/img/18/clubs/95.png,https://futhead.cursecdn.com/static/img/18/nations/97.png
83,dembélé,91,76,75,88,32,56,https://futhead.cursecdn.com/static/img/18/players/231443.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
82,shaqiri,83,77,78,84,46,65,https://futhead.cursecdn.com/static/img/18/players/193348.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/47.png
82,marlos,83,76,78,87,48,66,https://futhead.cursecdn.com/static/img/18/players/187754.png,https://futhead.cursecdn.com/static/img/18/clubs/101059.png,https://futhead.cursecdn.com/static/img/18/nations/49.png
82,coman,93,76,75,84,19,60,https://futhead.cursecdn.com/static/img/18/players/213345.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
82,zaha,90,72,72,87,33,73,https://futhead.cursecdn.com/static/img/18/players/198717.png,https://futhead.cursecdn.com/static/img/18/clubs/1799.png,https://futhead.cursecdn.com/static/img/18/nations/108.png
82,marlos,83,76,78,87,48,66,https://futhead.cursecdn.com/static/img/18/players/187754.png,https://futhead.cursecdn.com/static/img/18/clubs/101059.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,promes,89,81,76,82,29,67,https://futhead.cursecdn.com/static/img/18/players/208808.png,https://futhead.cursecdn.com/static/img/18/clubs/100767.png,https://futhead.cursecdn.com/static/img/18/nations/34.png
82,bernardeschi,84,76,77,86,34,65,https://futhead.cursecdn.com/static/img/18/players/212404.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/27.png
82,cuadrado,91,74,75,86,61,65,https://futhead.cursecdn.com/static/img/18/players/193082.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/56.png
82,shaqiri,83,77,78,84,46,65,https://futhead.cursecdn.com/static/img/18/players/193348.png,https://futhead.cursecdn.com/static/img/18/clubs/1806.png,https://futhead.cursecdn.com/static/img/18/nations/47.png
82,bellarabi,92,77,74,84,33,68,https://futhead.cursecdn.com/static/img/18/players/202857.png,https://futhead.cursecdn.com/static/img/18/clubs/32.png,https://futhead.cursecdn.com/static/img/18/nations/21.png
