Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
93,messi,89,90,86,95,26,61,https://futhead.cursecdn.com/static/img/18/players/158023.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
89,bale,94,87,84,86,57,76,https://futhead.cursecdn.com/static/img/18/players/173731.png,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/50.png
85,salah,93,77,76,87,45,72,https://futhead.cursecdn.com/static/img/18/players/209331.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/111.png
85,maría,86,77,82,85,47,68,https://futhead.cursecdn.com/static/img/18/players/183898.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
84,aspas,82,83,76,85,30,65,https://futhead.cursecdn.com/static/img/18/players/192629.png,https://futhead.cursecdn.com/static/img/18/clubs/450.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
84,sterling,93,74,76,86,46,64,https://futhead.cursecdn.com/static/img/18/players/202652.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
84,willian,88,76,81,86,49,64,https://futhead.cursecdn.com/static/img/18/players/180403.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
84,pedro,82,77,77,84,37,62,https://futhead.cursecdn.com/static/img/18/players/189505.png,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
83,thauvin,83,79,80,83,36,65,https://futhead.cursecdn.com/static/img/18/players/204970.png,https://futhead.cursecdn.com/static/img/18/clubs/219.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
83,salah,93,73,74,86,45,66,https://futhead.cursecdn.com/static/img/18/players/209331.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/111.png
83,callejón,90,78,71,83,34,65,https://futhead.cursecdn.com/static/img/18/players/185020.png,https://futhead.cursecdn.com/static/img/18/clubs/48.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
82,shaqiri,83,77,78,84,46,65,https://futhead.cursecdn.com/static/img/18/players/193348.png,https://futhead.cursecdn.com/static/img/18/clubs/9.png,https://futhead.cursecdn.com/static/img/18/nations/47.png
82,malcom,84,78,79,85,26,64,https://futhead.cursecdn.com/static/img/18/players/222737.png,https://futhead.cursecdn.com/static/img/18/clubs/59.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,lucas,93,74,75,86,45,62,https://futhead.cursecdn.com/static/img/18/players/200949.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/54.png
82,vela,84,79,77,82,25,66,https://futhead.cursecdn.com/static/img/18/players/169416.png,https://futhead.cursecdn.com/static/img/18/clubs/112996.png,https://futhead.cursecdn.com/static/img/18/nations/83.png
82,sterling,93,71,74,85,46,61,https://futhead.cursecdn.com/static/img/18/players/202652.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
82,suso,82,74,81,86,23,51,https://futhead.cursecdn.com/static/img/18/players/202651.png,https://futhead.cursecdn.com/static/img/18/clubs/47.png,https://futhead.cursecdn.com/static/img/18/nations/45.png
