Ovr,Name,Pac,Sho,Pas,Dri,Def,Phy,Pic,Club,Nation
94,ronaldo,90,93,82,90,33,80,https://futhead.cursecdn.com/static/img/18/players/20801.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/38.png
92,suarez,82,90,79,86,42,81,https://futhead.cursecdn.com/static/img/18/players/176580.png,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/60.png
91,lewandowski,81,88,75,86,38,82,https://futhead.cursecdn.com/static/img/18/players/188545.png,https://futhead.cursecdn.com/static/img/18/clubs/21.png,https://futhead.cursecdn.com/static/img/18/nations/37.png
90,higuain,79,87,70,83,25,74,https://futhead.cursecdn.com/static/img/18/players/167664.png,https://futhead.cursecdn.com/static/img/18/clubs/45.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
89,aguero,87,88,75,89,23,72,https://futhead.cursecdn.com/static/img/18/players/153079.png,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/52.png
88,cavani,77,85,73,81,42,82,https://futhead.cursecdn.com/static/img/18/players/179813.png,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/60.png
88,kane,73,89,75,81,42,84,https://futhead.cursecdn.com/static/img/18/players/202126.png,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/14.png
88,aubameyang,96,84,75,81,37,71,https://futhead.cursecdn.com/static/img/18/players/188567.png,https://futhead.cursecdn.com/static/img/18/clubs/1.png,https://futhead.cursecdn.com/static/img/18/nations/115.png
88,griezmann,86,85,78,87,30,68,https://futhead.cursecdn.com/static/img/18/players/194765.png,https://futhead.cursecdn.com/static/img/18/clubs/240.png,https://futhead.cursecdn.com/static/img/18/nations/18.png
88,ibrahimovic,65,88,81,82,32,82,https://futhead.cursecdn.com/static/img/18/players/41236.png,https://futhead.cursecdn.com/static/img/18/clubs/11.png,https://futhead.cursecdn.com/static/img/18/nations/46.png
88,aubameyangv,96,84,75,81,37,71,https://futhead.cursecdn.com/static/img/18/players/188567.png,https://futhead.cursecdn.com/static/img/18/clubs/22.png,https://futhead.cursecdn.com/static/img/18/nations/115.png
